MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Aston Villa_Fulham,2023-2024,12,12/11/2023,14:00,Aston Villa,Fulham,3,1,H,2,0,H,S Hooper,12,9,6,5,2,2,4,17,2,5,0,0,1.57,4.2,5.5,1.7,2.1,1.63,4.5,5.9,1.59,4.28,5.66,1.76,2.27,1.69,2.19,3,0
2023-2024_Brighton_Sheffield United,2023-2024,12,12/11/2023,14:00,Brighton,Sheffield United,1,1,D,1,0,H,J Brooks,11,9,6,1,6,3,13,16,3,2,1,0,1.25,5.75,13,1.4,2.88,1.26,7.4,13,1.24,6.73,11.71,1.45,3.1,1.41,2.94,1,1
2023-2024_Liverpool_Brentford,2023-2024,12,12/11/2023,14:00,Liverpool,Brentford,3,0,H,1,0,H,P Tierney,17,16,10,3,6,8,16,12,1,2,0,0,1.4,5,6.5,1.44,2.7,1.45,5.5,7.6,1.42,5.16,7.05,1.48,2.86,1.46,2.73,3,0
2023-2024_West Ham_Nott'm Forest,2023-2024,12,12/11/2023,14:00,West Ham,Nott'm Forest,3,2,H,1,1,D,M Salisbury,16,10,6,5,9,4,9,12,2,2,0,0,1.85,3.6,4,1.75,2.05,1.93,3.92,4.5,1.89,3.77,4.09,1.84,2.12,1.79,2.05,3,0
2023-2024_Chelsea_Man City,2023-2024,12,12/11/2023,16:30,Chelsea,Man City,4,4,D,2,2,D,A Taylor,17,15,9,10,3,3,12,15,5,3,0,0,5,3.7,1.73,1.88,2.02,5.4,3.98,1.78,4.93,3.83,1.74,1.94,2.08,1.84,2,1,1
2023-2024_Man City_Liverpool,2023-2024,13,25/11/2023,12:30,Man City,Liverpool,1,1,D,1,0,H,C Kavanagh,16,8,5,3,9,6,9,11,1,3,0,0,1.73,4.2,4.2,1.48,2.6,1.8,4.5,4.51,1.75,4.31,4.29,1.53,2.75,1.5,2.62,1,1
2023-2024_Burnley_West Ham,2023-2024,13,25/11/2023,15:00,Burnley,West Ham,1,2,A,0,0,D,S Barrott,11,11,5,3,4,5,11,7,1,3,0,0,3.4,3.5,2.05,1.75,2.05,3.63,3.79,2.17,3.47,3.62,2.1,1.85,2.16,1.78,2.08,0,3
2023-2024_Luton_Crystal Palace,2023-2024,13,25/11/2023,15:00,Luton,Crystal Palace,2,1,H,0,0,D,J Gillett,8,16,3,8,4,5,15,12,6,1,0,0,3.6,3.3,2.1,2.15,1.67,3.8,3.54,2.17,3.63,3.38,2.13,2.23,1.77,2.16,1.72,3,0
2023-2024_Newcastle_Chelsea,2023-2024,13,25/11/2023,15:00,Newcastle,Chelsea,4,1,H,1,1,D,S Hooper,14,7,5,4,4,2,13,19,4,4,0,1,2.55,3.5,2.63,1.86,2.04,2.72,3.66,2.76,2.62,3.5,2.68,1.9,2.07,1.84,2.01,3,0
2023-2024_Nott'm Forest_Brighton,2023-2024,13,25/11/2023,15:00,Nott'm Forest,Brighton,2,3,A,1,2,A,A Taylor,18,11,5,5,6,4,12,7,2,4,0,1,3.2,3.6,2.15,1.73,2.08,3.4,3.8,2.25,3.22,3.64,2.2,1.79,2.25,1.74,2.13,0,3
2023-2024_Sheffield United_Bournemouth,2023-2024,13,25/11/2023,15:00,Sheffield United,Bournemouth,1,3,A,0,2,A,A Madley,10,23,2,11,4,7,6,8,4,1,0,0,3.2,3.5,2.2,1.85,2.05,3.47,3.72,2.25,3.29,3.53,2.21,1.91,2.08,1.83,2.02,0,3
2023-2024_Brentford_Arsenal,2023-2024,13,25/11/2023,17:30,Brentford,Arsenal,0,1,A,0,0,D,T Robinson,9,15,3,4,1,8,9,7,1,1,0,0,4.5,3.75,1.75,1.9,2,5,4.01,1.8,4.64,3.84,1.77,1.94,2.03,1.88,1.96,0,3
2023-2024_Tottenham_Aston Villa,2023-2024,13,26/11/2023,14:00,Tottenham,Aston Villa,1,2,A,1,1,D,R Jones,18,15,8,5,9,3,11,13,0,4,0,0,2.3,3.8,2.8,1.5,2.5,2.42,4.01,2.9,2.35,3.89,2.8,1.55,2.75,1.5,2.59,0,3
2023-2024_Everton_Man United,2023-2024,13,26/11/2023,16:30,Everton,Man United,0,3,A,0,1,A,J Brooks,24,9,6,4,6,5,10,8,3,0,0,0,2.7,3.4,2.55,1.85,2.05,2.8,3.7,2.65,2.74,3.52,2.56,1.87,2.11,1.82,2.03,0,3
2023-2024_Fulham_Wolves,2023-2024,13,27/11/2023,20:00,Fulham,Wolves,3,2,H,1,1,D,M Salisbury,12,10,6,6,6,2,13,13,2,2,0,0,2.38,3.3,3,2.08,1.73,2.51,3.48,3.1,2.43,3.34,3.02,2.16,1.82,2.1,1.76,3,0
2023-2024_Arsenal_Wolves,2023-2024,14,02/12/2023,15:00,Arsenal,Wolves,2,1,H,2,0,H,P Bankes,19,6,6,3,4,0,10,10,1,2,0,0,1.25,5.5,12,1.65,2.2,1.3,6.5,12.6,1.27,5.95,11.58,1.73,2.37,1.65,2.27,3,0
2023-2024_Brentford_Luton,2023-2024,14,02/12/2023,15:00,Brentford,Luton,3,1,H,0,0,D,A Taylor,27,7,6,1,7,5,10,8,1,2,0,0,1.45,4.5,6.5,1.7,2.1,1.51,4.9,7.5,1.48,4.63,6.88,1.8,2.25,1.72,2.13,3,0
2023-2024_Burnley_Sheffield United,2023-2024,14,02/12/2023,15:00,Burnley,Sheffield United,5,0,H,2,0,H,C Kavanagh,19,6,7,3,6,1,9,12,2,5,0,1,1.8,3.6,4.5,2.06,1.84,1.89,3.82,5,1.83,3.68,4.55,2.1,1.89,2,1.84,3,0
2023-2024_Nott'm Forest_Everton,2023-2024,14,02/12/2023,17:30,Nott'm Forest,Everton,0,1,A,0,0,D,P Tierney,13,12,2,3,4,3,15,14,1,0,0,0,2.75,3.25,2.6,2.05,1.75,2.9,3.5,2.67,2.8,3.35,2.62,2.13,1.85,2.04,1.8,0,3
